1765,1804,30
1765,1822,35
1765,1825,30 
1765,1826,35 
1765,1828,30 
1765,1832,38
1765,1834,30
1765,1838,28
1765,1842,35
1765,1843,36
1765,1847,35
1765,1850,37
1765,1852,37
1765,1854,37
1765,1855,37
1765,1857,30
1765,1861,35
1765,1862,35
1765,1863,30
1765,1868,38
1765,1871,35
1765,1872,35
1765,1874,38
1765,1875,35
1765,1877,35
1765,1880,35
1765,1883,35
1765,1885,38
1765,1889,35
2089,2091,18
2089,2092,41
2089,2093,21
2089,2094,1
2089,2095,1
2089,2096,14
2089,2097,15
2089,2142,1
2089,2143,21
2089,2144,6
2089,2145,6
2089,2146,5 
2141,2157,1
2141,2158,3
2141,2159,4
2141,2161,5
2141,2162,6
2141,2163,9
2141,2164,6
2141,2165,1
2141,2166,9
2141,2167,6
2141,2168,6
2141,2169,5
2141,2170,4
2141,2171,7
2141,2172,4
2141,2173,8
2141,2174,7
2141,2175,9
2141,2179,1
2141,2187,6
2141,2189,9
2141,2191,9
2141,2192,5
2141,2198,7
2141,2203,41
2141,2207,9
2141,2209,9
2141,2211,6
2141,2216,5
2141,2224,5
2141,2225,9
2141,2226,9
2141,2227,41
2141,2341,6
2141,2342,13
2141,2344,9
2141,2346,13
2141,2347,9
2141,2349,41
2141,2353,41
2141,2355,41
2141,2356,7
2141,2357,9
2141,2359,41
2141,2360,7
2141,2361,7
2141,2362,4
2141,2363,4
2152,2180,15
2152,2181,6
2152,2182,8
2152,2183,4
2152,2184,1
2152,2185,11
2152,2193,1
2152,2194,8
2152,2195,15
2152,2196,22
2152,2197,22
2152,2199,4
2152,2200,2
2152,2201,11
2152,2204,3
2152,2205,7
2152,2206,3
2152,2210,9
2152,2213,6
2152,2215,11
2152,2217,15
2152,2218,6
2152,2219,12
2152,2221,15
2152,2222,12
2152,2223,12
2152,2228,10
2152,2229,22
2152,2230,15
2152,2231,15
2152,2233,16
2152,2234,18
2152,2235,12
2152,2236,12
2152,2238,16
2152,2239,5
2152,2240,3
2152,2241,15
